AS_OF_DATE,SYMBOL,ID_ISIN,ID_TYPE,POSITION,COST_BASIS,MARKET_VALUE,WEIGHT_PCT,CURRENCY,EXCHANGE
20260420,HUBN,CH0030380734,ISIN,85,16073.781575,18615,2.800378,CHF,SW
20260420,DSV,DK0060079531,ISIN,109,180163.745343,185845,3.432552,DKK,DC
20260420,AIR,NL0000235190,ISIN,240,42135.19956,42331.2,5.843226,EUR,FP
20260420,GBF,DE0005909006,ISIN,183,20506.359536,19837.2,2.738246,EUR,GY
20260420,MTX,DE000A0D9PT0,ISIN,124,41914.3467,41056.4,5.667258,EUR,GY
20260420,RBI,AT0000606306,ISIN,477,20674.461008,21283.74,2.937921,EUR,AV
20260420,AVGO,US11135F1012,ISIN,157,55921.476828,62741.91,7.346994,USD,UW
20260420,ENVA,US29357K1034,ISIN,163,24206.037514,26932.49,3.153759,USD,UN
20260420,ERO,CA2960061091,ISIN,773,24134.473071,21945.47,2.569785,USD,UN
20260420,HSBK,US46627J3023,ISIN,1036,29527.59369,36570.8,4.282392,USD,LI
20260420,KAP,US63253R2013,ISIN,303,24808.441134,26664,3.122319,USD,LI
20260420,KSPI,US48581R2058,ISIN,572,42992.123142,52515.32,6.149474,USD,UW
20260420,NFLX,US64110L1061,ISIN,197,20114.114514,18681.51,2.187580,USD,UW
20260420,NVDA,US67066G1040,ISIN,307,56688.968142,62032.42,7.263914,USD,UW
20260420,NXE,CA65340P1062,ISIN,1303,16319.837514,16561.13,1.939286,USD,UN
20260420,QQQ,US46090E1038,ISIN,132,80784.311114,85376.28,9.997449,USD,UW
20260420,SBSW,US82575P1075,ISIN,593,8322.367572,7993.64,0.936045,USD,UN
20260420,TSM,US8740391003,ISIN,66,24122.443714,24171.84,2.830490,USD,UN
20260420,MNQM6,,,4,199875.48,213990,25.057945,USD,CME
20260420,PUB,FR0000130577,ISIN,-214,-17152.212345,-16850.36,-2.325955,EUR,FP
20260420,SRGm,IT0003153415,ISIN,-3245,-21163.41047,-21507.86,-2.968857,EUR,IM
20260420,OIH,US92189H6071,ISIN,-106,-41656.56906,-42292.94,-4.952447,USD,UP
20260420,TS,US88031M1099,ISIN,-581,-33253.630073,-34650.84,-4.057567,USD,UN
20260420,UNG,US9123184098,ISIN,-1462,-16182.606121,-15862.7,-1.857501,USD,UP
