AS_OF_DATE,SYMBOL,ID_ISIN,ID_TYPE,POSITION,COST_BASIS,PERCENTAGE_NAV,CURRENCY,EXCHANGE
20260421,MNQ,,,4.0,24984.435,25.81,USD,CME
20260421,QQQ,US46090E1038,ISIN,132.0,612.0,10.3,USD,UW
20260421,AVGO,US11135F1012,ISIN,157.0,356.19,7.54,USD,UW
20260421,NVDA,US67066G1040,ISIN,307.0,184.65,7.45,USD,UW
20260421,KSPI,US48581R2058,ISIN,572.0,75.16,6.33,USD,UW
20260421,AIR,NL0000235190,ISIN,240.0,175.56,5.92,EUR,FP
20260421,MTX,DE000A0D9PT0,ISIN,124.0,338.02,5.73,EUR,GY
20260421,HSBK,US46627J3023,ISIN,1036.0,28.5,4.44,USD,LI
20260421,DSV,DK0060079531,ISIN,109.0,1652.88,3.53,DKK,DC
20260421,KAP,US63253R2013,ISIN,303.0,81.88,3.33,USD,LI
20260421,ENVA,US29357K1034,ISIN,163.0,148.5,3.24,USD,UN
20260421,RBI,AT0000606306,ISIN,477.0,43.34,3.03,EUR,AV
20260421,TSM,US8740391003,ISIN,66.0,365.49,2.93,USD,UN
20260421,HUBN,CH0030380734,ISIN,85.0,189.1,2.9,CHF,SW
20260421,GBF,DE0005909006,ISIN,183.0,112.06,2.79,EUR,GY
20260421,ERO,CA2960061091,ISIN,773.0,31.22,2.65,USD,UN
20260421,NFLX,US64110L1061,ISIN,197.0,102.1,2.26,USD,UW
20260421,NXE,CA65340P1062,ISIN,1303.0,12.52,1.99,USD,UN
20260421,SBSW,US82575P1075,ISIN,593.0,14.03,0.94,USD,UN
20260421,UNG,US9123184098,ISIN,-1462.0,11.07,-1.9,USD,UP
20260421,PUB,FR0000130577,ISIN,-214.0,80.15,-2.39,EUR,FP
20260421,SRG,IT0003153415,ISIN,-3245.0,6.52,-3.06,EUR,IM
20260421,TS,US88031M1099,ISIN,-581.0,57.24,-4.18,USD,UN
20260421,OIH,US92189H6071,ISIN,-106.0,392.99,-5.1,USD,UP
